hamming_loss	0.0800¡À0.0056
avg_precision	0.8755¡À0.0075
one_error	0.2094¡À0.0109
ranking_loss	0.0707¡À0.0057
coverage	0.0728¡À0.0065
macro_f1	0.7753¡À0.0138
micro_f1	0.7665¡À0.0143
macro_precision	0.8082¡À0.0141
micro_precision	0.8031¡À0.0165
macro_recall	0.7450¡À0.0147
micro_recall	0.7332¡À0.0133
62
